bsh;tr;ti;det;quote;ill;tam;synt;matrix;other evids;m_tam;sp;pron
büre(gä) šulaj uq min uləma isem eðläjem tigän bit inde;"He said to the wolf: ""I am looking for a name for my son.""";tigän;dialog;min uləma isem eðläjem ;medium;PRS;nmRQ;nominal;no;non-verbal;;
beððä tigän äbej;she asks TI the old woman if she saw a ball, the old woman said that it is there;tigän;dialog;jomro jomɣaɣəmdə kürmäneŋme beððä;low;non-verbal;RQM;nominal;yes;non-verbal;;
säj esäjek tigän äbej jaŋɣəðəɣəna bulɣan inde;"let's drink tea, the old woman said; she lived alone";tigän;dialog;säj esäjek;strong;IMP;RQM;nominal;no;non-verbal;;
jeläk jəjəp kilteregeð tigän batša väzirðärenä;bring me berries – said the king to his viziers.;tigän;dialog;jeläk jəjəp kilteregeð ;strong;PRS;RQM;nominal;no;non-verbal;YNK;
hin kem hələu qəð tip äjtkän ti (ne) ni hin qajða jäšäjheŋ min öjömdä atajəm menän genä jäšäjem tigän qəðəqaj äjðä ni mine aləp qajtəp säj genä eserep ebärse tigän bik nəq juldan kiläm həuhanəm tigän ti;"Who are you, pretty girl? Where do you live? ""I live with my father"". ""Let's drink tea at your place, I am very tired from work, I am thirsty"".";tigän;dialog;min öjömdä atajəm menän genä jäšäjem;low;PRS;RQM;nominal;no;non-verbal;;
äj jeget ni ešlä-j-heŋ ti-gän Äbjälil arqan iš-ä-m ti-gän ;"Эй, парень, что делаешь? - говорит, Абзелил: ""Аркан плету"", говорит.";tigän;dialog;arqan iš-ä-m;low;PRS;RQM;nominal;no;non-verbal;;
ä šulaj ða min hine həjlap qajtarajəm bik šäp jeget ikänheŋ tigän batša;But still, I will offer you a meal, you are a very nice guy – said the king.;tigän;dialog;ä šulaj ða min hine həjlap qajtarajəm bik šäp jeget ikänheŋ;low;PC.PST;RQM;nominal;no;non-verbal;YNK;
jomro jomro jomɣaɣənə kürmänek tigän inde taɣə šunan beräühenä;haven't you seen a round ball? she asked again;tigän;dialog;jomro jomro jomɣaɣənə kürmänek;strong;PST;RQM;nominal;no;non-verbal;;
šunan qajɣərma qujanqajəm äjðä kittek tigän ätäs;then, don't cry my bunny, let's go, says cock;tigän;dialog;qajɣərma qujanqajəm äjðä kittek;strong;PST;RQM;nominal;no;non-verbal;;
ä nimä-gä käräk ul arqan ti-gän inde aždaha ;А зачем нужен этот аркан? говорит дракон.;tigän;dialog;ä nimä-gä käräk ul arqan;strong;non-verbal;RQM;nominal;no;non-verbal;;
qəðəqaj bik qajɣərɣan inähe ülmäθ elek uɣa šundaj vasəjat äjtep qaldərɣan ti bəna ošo( beððeŋ) mineŋ sülmäk bəl sülmäk miŋä inäjemdän qalɣajnə bəl sülmäkte min hiŋä tapšəram tigän ti bəl sülmäktän ber vaqətta la ajərəlma tigän ti;"The girl was very worried about her mother's death. When she was alive, she left her testament: ""Here is my pot, I inherited it from my mother, I'll give it to you. You should never leave this pot"".";tigän;tigän ti;bəna ošo( beððeŋ) mineŋ sülmäk bəl sülmäk miŋä inäjemdän qalɣajnə bəl sülmäkte min hiŋä tapšəram;medium;PRS;lmRQ;leave;yes;PC.PST;;
Ҡujan Ҡujan torɣan da -juq inde Тölköbikä (min hine) min bögön joqlamanəm, min bit xine qarauəllanəm bögön, bötön majəŋdə Аjəu aɣajɣa həlanəŋ tigän ti;"but the Hare stood and: ""No, Fox, I didn’t sleep today, I watched you today, you smeared all the butter on brother Bear"", she said";tigän;tigän ti;juq inde Тölköbikä (min hine) min bögön joqlamanəm, min bit xine qarauəllanəm bögön, bötön majəŋdə Аjəu aɣajɣa həlanəŋ;medium;PST;lmRQ;stand;yes;PC.PST;ZF;
bəlar jä ujanɣandar ða -nimä tip isem quštəŋ -Бaš bala tip isem quštəm tigän ti;"the others woke up (and asked) ""What did you call the child?"" ""I called (him) the Elder child"" she said.";tigän;tigän ti;Бaš bala tip isem quštəm;strong;PST;lmRQ;wake up;yes;PC.PST;;
qajtha -jä nindäj isem tip quštəŋ -Уrtansə bala tip quštəm, tigän ti,;when she returned (they asked) - and what did you name (him)? -I called (him) the Middle Child, she said, okay, the Middle Child, and everyone went to bed again;tigän;tigän ti;-jä nindäj isem tip quštəŋ -urtansə bala tip quštəm;medium;PST;lmRQ;return;yes;COND;;
birgändä qajtqasqəna asərəŋ tigän;while giving, she said when you arrive (at your house), open it;tigän;tigän;qajtqasqəna asərəŋ;strong;POT;lmRQ;give;yes;PC.PST;;
ajəw ujlap ujlap torɣan da jaraj miŋä tamərə bulhən tigän;bear was thinking and he said alright let me have roots;tigän;dialog;ajəw ujlap ujlap torɣan da jaraj miŋä tamərə bulhən;medium;IMP;lmRQ;think;no;PC.PST;RM;
"häm qəð ujlanəp torɣan da jaraj aptərama ataj min baram irtägä ""kil tigäs"" üðem baram baram tigän";And the girl thought and said: Ok, dad, don't worry, I will come tomorrow, if (the tsar) says to come, I will come, I will come.;tigän;dialog;"jaraj aptərama ataj min baram irtägä ""kil tigäs"" üðem baram baram";medium;PRS;lmRQ;think;no;PC.PST;ZF;
xäðer bəl ajəw hiðee... qəš könö hiðep qalɣan da äää miŋä halamə ɣəna buldə uɣa bašaɣə buldə min bit aldandəm tigän;during the winter the bear noticed that and said hmm I got roots, he got strikes, he cheated me;tigän;dialog;äää miŋä halamə ɣəna buldə uɣa bašaɣə buldə min bit aldandəm;low;PST;lmRQ;stay;no;PC.PST;;
batša hajran qalɣan hiŋä bəl (niðärðe) horauðarðə jauap birergä kem jarðam itä huŋ kemdän horanəŋ tigän;"The tsar was delighted: ""Who did you ask? Who helped you reply?"" – he said.";tigän;dialog;hiŋä bəl (niðärðe) horauðarðə jauap birergä kem jarðam itä huŋ kemdän horanəŋ;strong;PST;lmRQ;delighted;no;PC.PST;;
babaj taɣə qajɣəɣa qaləp ujlanəp qajtəp inä häm qəðə qaršəlaj ða ataj taɣə nindäj ni ujɣa töštöŋ nimägä qajɣərahəŋ tigän;"The old man came back home sad and perplexed again, and his daughter meets him and asks: ""Dad, what are you thinking about? Why are you sad?""";tigän;dialog;ataj taɣə nindäj ni ujɣa töštöŋ nimägä qajɣərahəŋ;strong;PRS;lmRQ;ask;no;PRS;;
bəl keše bəllarɣa aqəl öjrätkän heð qolondə ebäreɣeð ul kemde barəp imhä šunəŋ balahə bulər tigän;let the foal go, to whom it sucks, that is whose child it is – he said;tigän;tigän (farmed);heð qolondə ebäreɣeð ul kemde barəp imhä šunəŋ balahə bulər;strong;non-verbal;lmRQ;teach;yes;PC.PST;;
asəp qaraha sülmäkteŋ esendä ber nimä lä bulmaɣan ti qəðəqaj aptərəɣan tik bəl sülmäk saŋɣa batqan ti qajða min bəl sülmäkte həu bujəna aləp barəp jəuajəm äle matur itep esenä beräj nämä äjberðär haləp qujərmən tigän dä qəðəqaj həu bujəna töšöp kitkän ti;"She opened it, looked inside, there wasn't anything there. The girl was surprised. But this pot was dusty. ""I will bring this pot to a river and wash it properly. Then I will put something inside"" – she thought and went towards a river.";tigän;tigän;qajða min bəl sülmäkte həu bujəna aləp barəp jəuajəm äle matur itep esenä beräj nämä äjberðär haləp qujərmən;low;POT;RQM;go;yes;PC.PST;;
kilep tölkö öjðän səq tigän tölkö öjðän səqmajəm tip qəsqərɣan;they came, they said, go away, fox, and the fox screams I won’t leave the house;tigän;dialog;tölkö öjðän səq;strong;IMP;lmRQM;scream;no;PC.PST;;
